,text,label
91,More women being shunned from higher executive positions are protesting on social media .,3
92,These days people rarely buy CDs but rather download music online .,3
93,I knew bees could sting and I had to be careful around them .,3
94,People witnessing the fire on the shinkansen were shocked and afraid and rushed to get out of the car .,3
95,"While I was moving boxes , I heard a sudden loud noise and saw a big rip in my jeans .",3
96,I love the taste of certain special kinds of food in the autumn .,3
97,American politics has n't changed --- unless it has gotten worse .,3
98,He is a passionate bird watcher .,3
99,Do you promise to care for her as long as you both shall live ?,3
100,The teacher has made some minor changes to the homework so it can be more easily understood .,3
101,I 'd like to take a trip somewhere to see new places and meet new people .,3
102,This is why some procedures worked and others didn't .,3
103,It is amazing how far the computers have come in development .,3
104,The clasp on my necklace was broken .,3
105,The little boy put his tooth under the pillow to receive money from the tooth fairy .,3
106,The group became alarmed when they heard her scream .,3
107,She got elected by a majority vote .,3
108,Journalists win Pulitzer Prizes for exceptional work .,3
109,"I liked what Obama said about how we need to take care of the young , old and sick in our society .",3
110,Not all of the people who live in that area need critical financial support .,3
111,He always gets very red when he is embarrassed .,3
112,Your younger brother must have anger management problems since he is always getting into trouble .,3
113,There is probably titanium in your eyeglass frames .,4
114,The sound of the rushing water in the river was soothing .,4
115,You must declare your major by the end of your sophomore year .,4
116,"Martin Luther King , Jr was an honorable man whose beliefs inspired millions of people and whose death was a tragedy that sparked rioting .",4
117,This food has a great deal of unsaturated fat .,4
118,My grandmother 's soup is nice to eat because it not only has all the essential nutrients but also tastes like home .,4
119,This humidity has sapped my energy .,4
120,The officials announcing the new policy looked like they were ready for inevitable criticism .,4
121,I am a researcher in applied corpus linguistics .,4
122,They were complaining about what they see as a lax attitude by the Japanese government over the issue of abductions .,4
123,What she finds most amazing is how some foreigners can live here for decades and still not be fluent in the language .,4
124,"The moment when the earthquake hit , the tsunami sirens began to shriek .",4
125,"None of the food was vegan , and therefore did n't meet my dietary needs .",4
126,I do n't think the world has ever seen such a drastic economic downturn as we have experienced in the last few years .,4
127,"Here , take this and do n't argue with me because I know you need it .",3
128,The groom 's family is staying at the hotel .,3
129,The magician bent the spoon effortlessly .,3
130,The athletes gathered in Kona for Ironman .,3
131,The biker rode through a group of pedestrians .,3
132,"In the movies , it seems like only the people who are good looking survive disasters .",3
133,The displeased principal kept walking around the classroom .,3
134,The boys shouting at the man were upset because he had stolen their backpacks .,3
135,You need to learn to work with William even though you dislike him .,3
136,"George knew he was good at playing hide and seek , and advised Tina to hide between the wall and the tree .",3
137,If you wait a little there will be a definite answer .,3
138,Nobody understands why you do n't have confidence when it 's obvious that you have great talent !,3
139,Let 's catch snowflakes on our tongues .,3
140,"During the summer , the children swim at the old pond .",3
141,Her shelf was crowded with swimming trophies .,3
142,I do n't mind working although I 'd rather be reading .,3
143,I believe it is awful to cheat .,3
144,I always wear an apron when I am cooking because I do n't want to spill anything on my clothes .,3
145,I do n't think that I will be there for Greg 's performance since I have a conference .,3
146,We waited for at least two hours before we finally got to see Johnny Depp walk down the red carpet .,3
147,The wire on the fence was as sharp as razors ; we knew there was no way through it .,3
148,"It is too far for Jamie to walk to , especially because she is pregnant and easily exhausted .",3
149,Do n't you just wish that sometimes you could go into the stories you read and become one of the characters ?,3
150,The little girl placed the doll carefully on her bed and kissed its cheek as gently as if it were a real boy .,3
151,"Before John 's allergic reaction gets worse , I think we should take him to a clinic so they can provide him with exactly what he needs .",3
152,I hope to send out all the invitations by tonight .,3
153,The company changed its mind and decided not to fire us after all .,3
154,What we have done is given consent so you can make your own legal decisions .,3
155,Liam stayed around while Jess worked on her art assignment .,3
156,Think before you say something hurtful .,3
157,He is n't on either Joanne or Lia 's side because he wants to stay neutral .,3
158,He pressed the button carefully because he was n't sure what it would do .,3
159,We just have to accept our son-in- law .,3
160,"On the tour , we saw the room where Hemingway wrote his most famous novel .",3
161,I 'll just take one and leave the rest for you .,3
162,It 's a good idea to plan to pay off some of your debts before you try to buy a house .,3
163,Israelis must serve in the military .,3
164,The copilot whom I met was dressed in an Air Canada uniform .,3
165,No room is left for more chairs in the kitchen .,3
166,The main thing that I wanted to say was to tell you how grateful I am for your friendship .,3
167,There is a grape stuck in my nostril .,3
168,"If we were in charge of the government , I would pay more money to people who help people than to bankers .",3
169,Lisa was nervous at the party and stood next to her best friend the entire night .,3
170,"If we were willing to risk it , we could climb up on the roof to watch the moon .",3
171,"Whenever I need to buy something new , I search for information in a catalogue .",3
172,"I am sorry to bother you , but could you help me with this problem ?",3
173,Are there any schools you 're looking at in particular ?,3
174,The cameraman was charged with murder .,3
175,"If they were just a little older , I would n't have to drive them to those early morning practice games .",3
176,The store has changed its return policy so I ca n't get a refund .,3
177,The brothers were as plump as their sisters .,3
178,I 've run out of toothpaste and I need some badly .,3
179,"As we just saw , stock investments are not as safe as we once assumed they would be .",3
180,Freedom from Mubarak in Egypt has come with a very heavy price for ordinary citizens .,3
181,The sea breeze came through the open window .,3
182,I told him the electric bill would be high if he left the lights on all the time .,3
183,"Before flying off to America , Ally gave each of her siblings a big hug and a present .",3
184,Several black limousines were lined up outside .,3
185,I believe it was unlikely that John will be awarded a full scholarship but I 'm sure he will get a partial scholarship .,3
186,The baby 's room was decorated in pastel colors .,3
187,"If I had been the one to make the decision , I would not have sent the boys out alone .",3
188,No animal can run as fast as a cheetah .,3
189,Parents carried their sleeping girls and boys back to their cars after the excitement of the late night fireworks display .,3
190,The number of people on his side of the church was much greater than the number on hers .,3
191,There will be more options for you to choose from if you are open-minded .,3
192,Can you believe what Ishihara said about how all foreigners were to blame for crime in Tokyo ?,3
193,"If I tried and failed , would you be disappointed in me ?",3
194,We had just finished the test when the bell rang .,3
195,Gemma got free potatoes from her neighbors .,3
196,I did n't see anything suspicious .,3
197,It is far enough from the house to the ocean so we wo n't be affected by a tsunami .,3
198,She is the program administrator so ask her .,3
199,Tomorrow we will wish we had not drunk so much .,3
200,"No matter what anyone thinks , remember what you think is the right thing to do , and do it .",3
201,My brother asked me to pick up more bananas from the market on my way home .,3
202,He likes sticking his nose in other people 's business and gossiping about it .,3
203,We used worms on our fishing hooks .,3
204,Even shells and beads were sometimes used as money in the distant past .,3
205,Sylvia keeps her grade-point average high so that she can get a scholarship .,3
206,Lina likes collecting postcards .,3
207,Jamie absolutely hated mushroom .,3
208,Carla suddenly dropped her bags and ran out of the lecture room .,3
209,The performers were taught exactly when to start dancing and singing within the play .,3
210,Put the puck in the back of the net .,3
211,It was from that point that our group realized that it would be impossible to finish by the deadline .,3
212,"Since they won the game , the last goal must have been very rewarding .",3
213,Silicon is a chemical element .,3
214,You may change your major if you discuss it with your advisor .,3
215,I called but you were busy and I did n't want to interrupt .,3
216,Lana found a poisonous mushroom in the forest .,3
217,James is so organized that he 's never handed in late homework .,3
218,I want to get involved but there are so many clubs to choose from .,3
219,We hiked to an area where there was fresh water .,3
220,Do you know who your government representative is ?,3
221,"All the bicycles in front of the station had been locked , so they were removed using tools .",3
222,"When I dropped off my backpack in the locker room , I thought I saw yours in there too .",3
223,I wish we could go away and not come back until the trial was over and he was put in prison .,3
224,Ben seemed talkative but he 's usually rather quiet .,3
225,I got my cat a collar with bells .,3
226,The dogs got tired from running at the park this afternoon .,3
227,I 'm glad my roommate enjoyed her birthday party last night but it was a very noisy one .,3
228,I could hear the monks chanting .,3
229,The government announced that the people who were responsible would be found and punished .,3
230,Please help me to make sense of this terrible news .,3
231,Exercising more will help you to lose weight .,3
232,Some children think their mothers are personal maids .,3
233,The boys quietly walked past their parents who were already asleep .,3
234,Dad never gives us permission to go to rock concerts .,3
235,Mrs. Warner 's youngest daughter is always running around and is the most energetic one .,3
236,Do n't feed the geese at the park .,3
237,It 's important to know when to negotiate and when to walk away from a deal .,3
238,The woman waiting in line in front of me began to shout when the clerks turned off the lights .,3
239,The moonlight made the countryside shadowy .,3
240,Eventually they all got what they wanted : Harry married Ginny and Hermione married Ron .,3
241,I fought hard for my position in the debate .,3
242,You should pull hard to ring the bell .,3
243,I wish NTT would stop calling me at night to try to sell me a new Internet plan .,3
244,When the doorbell rang I hurried to the door because I knew the book I ordered had finally arrived .,3
245,Skater culture is popular right now .,3
246,It was on this spot where my husband proposed to me .,3
247,The news of his death brought the meeting to a halt .,3
248,The hawk flew down and grabbed a snake .,3
249,That seems like a harsh punishment .,3
250,There is a big difference between what is happening now and what they see as the next steps in what should be happening now .,3
251,There is no need to get so upset about the situation .,3
252,Would you rather meet for lunch at your place or mine ?,3
253,It is difficult to describe what we have seen .,3
254,He forgot to walk the dog last night so now there is a big mess to clean .,3
255,"If it were n't so important , she would not keep reminding you to work on it .",3
256,Alligator meat tastes like chicken .,3
257,The man whom he had met as a child turned out later to be his real father .,3
258,Shall we include diagrams in our sociology presentation ?,4
259,The students celebrating the Japanese Women's Team win stayed up late into the night but cleaned up their mess before they left .,4
260,It 's nice to see more interracial couples who are accepting of our differences .,4
261,Nothing you do or say will ever stop Sally from chasing her dream of becoming a veterinarian .,4
262,Saturn is a ringed planet .,4
263,The wizard whom he lost was his godfather .,4
264,They should fire that awful accountant .,4
265,Thinking about the impossible will keep you agitated .,4
266,The woman whom some claimed to be the missing daughter of the Czar was proved to be a fraud .,4
267,He puts Jamaican jerk on his meat .,4
268,"Unfortunately , she is a parent whose rules must be enforced through guilt and manipulation instead of reason and trust .",4
269,Hold your nostrils closed before you dive in .,4
270,They raced their motorcycles through a dangerous intersection .,4
271,Three Russian diplomats were expelled from the U.S.,4
272,"If I were an engineer , I would look for a chemical safer than water to use for geothermal energy production .",4
273,There have been many opposition groups against Hitler 's ideology for decades now .,4
274,Sally likes to wiggle her loose tooth to make the younger children laugh .,4
275,Titanium is commonly found in the earth 's crust .,4
276,I tried to do my homework but was distracted by my neighbor 's loud television .,4
277,They were able to track the astronauts ' return and quickly get to the area where they landed .,4
278,"Although you 've no doubt seen this kind of crime before , it is nevertheless shocking to see the violence .",3
279,The new immigration bill would allow some people to stay in the country .,3
280,Petting animals is good for relaxing people under stress .,3
281,She whispered so as not to wake him .,3
282,I do n't know why the school changed their curriculum so suddenly .,3
283,"None of them would admit that they made a mistake , and that everyone was equally at fault .",3
284,The sound came in intervals .,3
285,"No one likes their work to be criticized , especially when they have put a lot of time and effort into it .",3
286,She was trying to find out what it was that was making them sick .,3
287,We hope to see that movie but I heard the tickets might be sold out .,3
288,"This year was one of the coldest winters in recorded history , some say because of the climate change issue .",3
289,Everyone stopped what they were doing when the earthquake shook the building .,3
290,She told what I saw as a convincing story of her experiences .,3
291,By telling jokes in class Professor Allen kept his students alert and amused .,3
292,Few people succeed in starting their own business and profiting greatly from it .,3
293,Heroin is one of the most dangerous drugs because it is so addictive .,3
294,Some people are not at all affectionate .,3
295,We learned how to predict typhoons .,3
296,Fresh fruit in the diet may protect against cancer .,3
297,It 's nice to see a paper you 've been working on for months finally completed .,3
298,Many buildings are made with steel beams .,3
299,Her memory began to fail until finally she no longer knew me .,3
300,They have n't gotten any sleep since the twins were born .,3
301,I am disappointed by what I find in my refrigerator .,3
302,She is our foster daughter .,3
303,Nobody spoke another word after the professor got mad .,3
304,Some teachers with large classes never get to know their students .,3
305,He fixed his tie before starting his presentation .,3
306,Cargo ships dock in port cities .,3
307,"You can borrow ours , but please just be careful with it .",3
308,The students learned to check their papers with spell and grammar tools .,3
309,She was given several distinguished awards for her work .,3
310,Elk meat is leaner than beef .,3
311,"Amanda , who was the fastest runner in our grade , ran across the field at full speed .",3
312,A group of university graduates wanted to go backpacking around Europe .,3
313,I wish I could have had a chance to clean up before your arrival .,3
314,Your professor must be notified in advance if you are planning to take his classes next semester .,3
315,"Take it from me , you are much better off thinking about all the things in life you are grateful for than complaining about things that upset you .",3
316,They were given several types of fish .,3
317,He always got a strawberry milkshake .,3
318,He has been dieting since his heart attack last spring .,3
319,He carefully moved across the crowded room .,3
320,Amanda was pleased to see all of the residents happy in her newly built apartment .,3
321,"The door was locked , the curtains were drawn , and the newspapers were piled up in the mailbox .",3
322,She always chose to eat lamb at restaurants .,3
323,I knew he was a person who got angry very quickly .,3
324,I wish it could be someone else that drove the car off the bridge .,3
325,One look at the exam made her feel nervous .,3
326,There is an urgent need for more doctors who are willing to volunteer in Africa .,3
327,Your research must have gotten a lot of attention from the scientific community .,3
328,Sailors check the barometer often .,3
329,He 's very keen on getting a puppy .,3
330,The professor said he had to adjust everyone 's grade because the class did so poorly on the final exam .,3
331,"If the public wanted changes , they would demonstrate .",3
332,That author 's books give many people pleasure .,3
333,The president of the company claimed one of his employees stole the money .,3
334,I enjoy meeting new people and expanding my social circle .,3
335,There are many police officers around the embassy .,3
336,The policemen remain focused on the investigation .,3
337,He believed it was his hard work brought him success .,3
338,The citizens were taught where to go for safety during an emergency .,3
339,She leaned on her knee as she listened .,3
340,The earthquake startled the tourists .,3
341,Being a godmother is a special responsibility .,3
342,Shall I drop by the bookstore to pick up my textbook ?,3
343,"His wealth was reflected by the beautiful furniture in each room , which was from different parts of the world .",3
344,The wives and the children were supposed to be seated first .,3
345,You may spare yourself the conflict if you remain quiet about the issue .,3
346,The teacher explained it as simply as he could .,3
347,"Since he 's so good to her , I approve of their marriage .",3
348,She is very attractive for a middle - aged woman .,3
349,They 've been calling around to find someone to cook .,3
350,"Make sure you do n't arrive late to any more of your classes , or your final grade will drop .",3
351,Florida has beautiful sunsets skies .,3
352,The twins never got along and they were constantly arguing .,3
353,Someone who carried the virus boarded the plane in New York and infected all the passengers .,3
354,"If they were at my house , I would have fed them .",3
355,Lisa only works certain shifts in the evening because she is extremely busy during the day .,3
356,"After boiling it , the lobster turned orange .",3
357,"If they had found any more survivors , they would have taken them to the hospital .",3
358,She asked her sister which purse to buy .,3
359,"If you always lived at home , it would be difficult to experience life fully .",3
360,She learned aikido so she would n't be fearful .,3
361,Have you ever been to Canada 's northern territories ?,3
362,Promise you wo n't ever tell anyone what you saw here today .,3
363,Was there anything left in your room or did you clear everything out ?,3
364,"In order to communicate with each other , both the French girlfriend and the Japanese boyfriend decided to learn a third language .",3
365,"To prevent break-ins , the locks were changed .",3
366,The men whom the reporters followed were famous musicians .,3
367,It is a story about a world where wizards live .,3
368,The newly discovered virus might be crucial in understanding the rapidly increasing death rate .,3
369,Emily quickly learned which teachers to rely on .,3
370,Her back was crooked .,3
371,I dream of a world where energy is clean and free .,3
372,Beans are very healthy and nutritious .,3
373,We qualified for the bridge tournament .,3
374,"Until recently , women were not allowed to vote in that country .",3
375,I decided to take her advice and so I signed up for an aikido class .,3
376,People who stare at computer screens all day often end up wearing glasses .,3
377,A monkey got loose in a train station .,3
378,He looked strange without his eyebrows .,3
379,It was found that exercise increases vitality .,3
380,The raindrops battered my umbrella .,3
381,She went to a school taught by nuns .,3
382,Wages in many industries have increased for the first time in many years .,3
383,Her favorite bracelet suddenly disappeared .,3
384,"When the alarm sounded , all the doors were locked and we were asked to remain in one room .",3
385,The car doors were locked and the alarm was on .,3
386,Too much alcohol prevents you from thinking properly .,3
387,People do not always realize that even during off season athletes are constantly training and practicing .,3
388,I wish I could find some way to convince her to come here for a visit .,3
389,They were n't hopeful about finding the missing boys .,3
390,"Being the good brother he is , he paid for his sister 's loans once he was able to afford it .",3
391,Many kinds of fruit have tough skin on the outside that people throw away .,3
392,This is a medical alert bracelet .,3
393,It will only get hotter but at least we can go to the beach .,3
394,The government program helps the people whom you insist need support .,3
395,The surgeon removed all the cancer .,3
396,She is allergic to oysters .,3
397,This is a neighborhood whose summer festivals become very crowded .,3
398,Let 's create a world where education for all is valued .,3
399,Meteorologists have a tough job .,3
400,There were multiple butterflies around the flower .,3
401,Sometimes I wish I had the power to go back in time and change some of the decisions I made .,3
402,Some students did not attend the revision session last week .,3
403,He is a man whom I have trusted with all my investments .,3
404,Copper has many uses .,3
405,"If it had been yours , you would have been so sad .",3
406,Her cheeks blushed red with embarrassment .,4
407,Much of what we know about human history comes from archaeology .,4
408,Give your urine sample to the lab technician .,4
409,The orphanage was run by nuns .,4
410,She has n't eaten any nuts or shellfish since she had a terrible allergic reaction when she was a child .,4
411,Between 22 January and 9 April 2006 the line was closed for engineering works .,3
412,"Soba is typically eaten with chopsticks , and in Japan , it is considered acceptable to slurp the noodles noisily .",3
413,"The same is true , up to a point , of the chemical reactions of living things .",3
414,Some airports in Japan do not fall under the scope of the Japanese airport statutes .,3
415,"His themes include landscape and environmental posters , drawings of street life , and protest placards .",3
416,His career began as a health and fitness specialist .,3
417,The berry has a low sugar content and a mildly sweet taste .,3
418,"Town criers were protected by royalty , as they sometimes brought bad news such as tax increases .",3
419,The current site of the palace has been in use since Roman times .,3
420,The circuit has been criticized by the drivers for its lack of overtaking opportunites .,3
421,"Developed countries have , which means that the service sector becomes more important , and the is less important .",3
422,Coal tar was formerly one of the products of gasworks .,3
423,"During World War II , the elephants at the Zoo were killed in the air raids of September 7 - 8 , 1941 .",3
424,It can be used as a mordant .,3
425,"A tables match is a match in which , to win , one 's opponent must somehow be driven through a table by their opponent .",3
426,The range is about 500 km long and it covers a tract about 48 km broad .,3
427,The property became famous for its rose garden .,3
428,The innovation that led to flatbread pizza was the use of tomato as a topping .,3
429,"Two soundtrack albums were released , with the second coming after the huge success of the first one .",3
430,There are no records of any military related acts in his time in which he participated .,3
431,March music is often important for ceremonial occasions .,3
432,Two websites were created to support the fictional company .,3
433,"The 20th century , however , brought the need for a more precise definition .",3
434,"Each unit built in this way is a single 10 ft section of bridge , with a 12 ft roadbed .",3
435,"Since rabbits are prey animals , they are careful in open spaces .",3
436,It is too small to have any general lumber usage .,3
437,"The cemetery was discovered in the 1920s , but had not been used since the 9th century AD .",3
438,Governments use different kinds of taxes and vary the tax rates .,3
439,"She enjoyed discussing politics with her father , and later with her husband .",3
440,"The database has more than 15 million articles from more than 3,600 publications .",3
441,"The majority of squid are no more than 60 cm long , although the giant squid may reach 13 m .",3
442,The currently accepted rules of ancient Greek boxing are based on historical references and images .,3
443,Rast was severely affected by flooding in the April 2006 Danube floods .,3
444,"Leaving Paris shortly before World War I , he returned to his father 's house , but was denied support .",3
445,"Because he always needed money , he raised taxes and sold towns .",3
446,"Thin slices or strips of vegetables or seafood are dipped in the batter , then briefly deep-fried in hot oil .",3
447,"The statue is one of the most popular tourist destinations in Germany with over 130,000 visitors a year .",3
448,"The first trailer for the new movie was released on February 5 , 2015 .",3
449,Unemployment among a large portion of the population is part of the reason for crime .,3
450,The tornado was estimated to have been an F4 on the Fujita scale .,3
451,"It is possible to fire a light machine gun from the hip , or on the move .",3
452,"Due to the worldwide spreading of the memorial culture surrounding Hiroshima , similar ceremonies are held across the globe .",3
453,The thermal efficiency of a heat engine is the percentage of heat energy that is transformed into work .,3
454,A total of thirteen people have served as Prime Minister of Upper Volta / Burkina Faso .,3
455,Greek philosophy is one of the foundations of Western culture .,3
456,Final development of the M1918A2 was authorized on 30 June 1938 .,3
457,Exploring the mines is not allowed by the prefecture and people caught get heavy fines .,3
458,Most of the principal buildings of the castle date from the fifteenth and sixteenth centuries .,3
459,There are many causes of kidney disease .,3
460,"Most spiders have four pairs of eyes on the top-front area of the body , arranged in patterns that vary from one family to another .",3
461,"In the Meiji period , sports which were imported from the West became popular .",3
462,Both species of kangaroo mouse live in sandy desert ecosystems .,3
463,Juvenile birds do not have the white patches on either side of the neck .,3
464,The rules currently used for the sport are based on the old rules .,3
465,The band initially planned to record their debut album in the space of two weeks .,3
466,The quintet decided to make this project serious and record an album .,3
467,Names shown in bold means the airport has scheduled passenger service on commercial airlines .,3
468,Parkinson 's disease can cause the brain to not respond .,3
469,Credits adapted from West 's official website .,3
470,Many things can play a part in a player 's success in arm wrestling .,3
471,"In straight pool , the person shooting may attempt to pocket any ball on the table .",3
472,In the game you have option of playing as selected celebrities and professionals from the show .,3
473,"During the second half of the 20th century , many people went to the country counties from nearby cities .",3
474,"Strebelle was a knwon artist for more than 65 years , and his works are found in private collections and public settings around the world .",3
475,Peer-reviewed test methods have been published by government agencies and private research organizations .,3
476,Lobsters usually move slowly by walking on the bottom of the sea floor .,3
477,The most common chicken and waffle pairing comes from the American soul food tradition and uses fried chicken .,3
478,The top of a pass is often the only flat ground in the area so it is often a good site for buildings .,3
479,One of the problems with the plan was the availability of landing ships .,3
480,"Otherwise , companies in France was looking for graduated students with specialized skills , for jobs in key sectors .",3
481,Real 's traditional away colors are all blue or all purple .,3
482,"From time to time , individuals joined the Order by special permission .",3
483,One of the most famous traditions is leaving a tooth under a pillow for the tooth fairy .,3
484,"In most games today , the first part has been sung , then the chorus two times .",3
485,"Facilities for visitors around the lake include camping areas , picnic areas , toilets and barbecues .",3
486,"Deep frying produces large amounts of waste oil , which must be disposed of properly .",3
487,"It currently has articles , making it the 18th largest Wikipedia by article count .",3
488,The competition at this phase is organized by the county football associations .,3
489,"Captive breeding is difficult , partly because of the relatively infrequent breeding cycle .",4
490,"A flash flood on 16 August 2004 , caused extensive damage to the village .",4
491,The concepts of angle and radius were already used by ancient peoples of the first millennium BC .,4
492,"The role of the British prime minister 's spouse is not an official office and , as such , they are not given a salary or official duties .",4
493,His early work was on the conductivity of electrolytes .,4
494,"The greater roadrunner nests on a platform of sticks low in a cactus or a bush and lays three to six eggs , which hatch in 20 days .",4
495,"People with hepatitis A should rest , drink a lot of water and avoid alcohol .",4
496,The main goals of earthquake engineering are : A properly engineered structure does not necessarily have to be extremely strong or expensive .,4
497,Most victims of the genocide were killed in their own villages .,4
498,The throne is seen as a symbol of authority .,4
499,The skull protects the brain and the ribs protect the heart and lungs .,4
500,"Like most rattlesnakes they live on land , and are not good climbers .",4
501,A moment of silence is a common way to remember tragedies .,4
502,"Environmental chemistry involves first understanding how the uncontaminated environment works , which chemicals in what concentrations are present naturally , and with what effects .",4
503,Ice sheets are larger than ice shelves or alpine glaciers .,4
504,"In drinking water , the higher the turbidity level , the higher the risk that people may develop diseases .",4
505,"Letter frequency distributions are also used in frequency analysis to crack ciphers , and are used to compare the relative frequency of letters in different languages .",4
506,"To swim , the nautilus draws water into and out of the living chamber with its hyponome , which uses jet propulsion .",4
507,Nowadays the creation of town and parish councils is encouraged in unparished areas .,4
508,Bird banders have found that only 25 % of juvenile American robins live through their first year .,4
509,"Shores are influenced by the topography of the surrounding landscape , as well as by water induced erosion , such as waves .",4
510,The German people and troops disliked the idea of going against Dutch neutrality .,4
511,"Psychology is the scientific study of human behavior , mental functioning , and experience .",4
512,Nitromethane is added to the fuel for more power and to make the engine easier to tune .,4
513,"By 1947 , penicillin had become the standard treatment for syphilis .",4
514,Urinary tract symptoms are frequently lacking in the elderly .,4
515,"The throwback uniforms would have an impact on future seasons in the NHL , as several teams adopted throwbacks as alternate jerseys .",4
516,Pi bonds result from overlap of atomic orbitals that are in contact through two areas of overlap .,4
517,It is the science of the endocrine system and hormones in a wide range of animals .,4
518,The original motivation for choosing the degree as a unit of rotations and angles is unknown .,4
519,"People associate certain colors with certain flavors , and the color of food can influence the perceived flavor in anything from candy to wine .",4
520,"The bats ' most distinguishing feature is that their forelimbs are developed as wings , making them the only mammals capable of flight .",4
521,Medical testing for sexually transmitted infections is important for prevention .,4
522,"During the early settlement of Australia by Europeans , the notion became commonly held that the bunyip was an unknown animal that awaited discovery .",4
523,Alcock was one of the leading pre-Reformation divines ; he was a man of deep learning and also of great proficiency as an architect .,4
524,"In the interwar years urban London further expanded , with the expansion of public transport , and the setting up of new industries outside inner London .",4
525,The Tentative List consists of sites which have been nominated .,4
